1,1,2016-01-15
2,1,2016-01-30
4,1,2015-09-07
6,1,2014-04-03
9,1,2016-01-07
11,1,2016-01-15
13,1,2016-01-18
16,1,2016-01-05
25,1,2016-01-03
26,1,2003-07-11
30,1,2016-01-22
32,1,2016-01-14
33,1,2015-07-14
34,1,2015-12-05
35,1,2003-07-11
37,1,2003-07-11
40,1,2003-07-11
44,1,2016-02-01
46,1,2015-12-09
47,1,2015-11-20
50,1,2004-11-24
51,1,2016-01-23
55,1,2015-01-07
56,1,2015-10-29
57,1,2016-02-03
59,1,2015-04-10
60,1,2014-11-02
61,1,2015-12-16
62,1,2015-10-03
63,1,2015-12-16
64,1,2016-01-18
66,1,2006-04-18
68,1,2015-09-17
69,1,2015-09-24
70,1,2016-02-01
71,1,2013-10-06
72,1,2016-01-13
73,1,2016-01-04
74,1,2015-09-28
75,1,2015-12-31
78,1,2016-01-28
79,1,2015-12-04
80,1,2016-01-13
81,1,2016-01-05
82,1,2015-12-30
83,1,2015-02-18
84,1,2003-07-19
85,1,2016-02-03
86,1,2015-12-17
87,1,2015-12-07
88,1,2015-09-28
91,1,2016-02-01
92,1,2009-07-13
93,1,2016-02-03
94,1,2016-01-11
95,1,2016-01-11
96,1,2014-08-25
97,1,2008-11-02
98,1,2015-12-12
99,1,2007-04-28
101,1,2016-01-28
102,1,2014-04-22
103,1,2015-12-29
104,1,2016-01-16
105,1,2016-01-28
106,1,2016-01-11
107,1,2016-01-10
108,1,2015-12-03
109,1,2016-01-20
110,1,2015-09-14
111,1,2005-06-01
112,1,2016-01-01
113,1,2003-07-19
115,1,2016-01-25
116,1,2003-07-19
117,1,2014-12-16
120,1,2015-03-18
122,1,2016-01-15
124,1,2015-09-25
125,1,2015-12-13
126,1,2015-12-16
127,1,2015-09-18
128,1,2014-04-16
129,1,2016-01-19
130,1,2016-01-05
131,1,2015-12-29
132,1,2016-01-03
133,1,2015-09-07
135,1,2016-01-25
136,1,2016-01-28
137,1,2015-10-15
138,1,2004-12-12
140,1,2016-01-02
141,1,2016-01-30
143,1,2015-08-18
144,1,2014-11-02
145,1,2015-07-29
146,1,2015-10-30
147,1,2016-01-02
148,1,2015-02-17
149,1,2015-08-29
150,1,2015-10-21
151,1,2015-06-22
153,1,2005-09-20
154,1,2015-10-12
156,1,2015-03-08
157,1,2015-09-26
158,1,2003-07-20
159,1,2015-09-24
160,1,2015-09-22
161,1,2015-09-11
162,1,2016-02-03
163,1,2013-11-12
164,1,2016-01-26
166,1,2016-01-25
167,1,2016-01-03
168,1,2015-11-17
169,1,2015-12-05
173,1,2015-12-08
174,1,2015-05-27
175,1,2014-11-02
177,1,2015-11-08
178,1,2016-01-25
179,1,2016-01-31
180,1,2014-11-28
183,1,2015-05-20
184,1,2015-10-06
187,1,2015-04-10
188,1,2015-11-09
189,1,2016-01-10
190,1,2015-09-26
191,1,2015-11-16
192,1,2015-10-22
193,1,2015-10-28
196,1,2015-12-28
197,1,2016-01-28
199,1,2016-01-20
204,1,2016-01-01
205,1,2006-09-22
206,1,2015-09-08
209,1,2015-02-20
210,1,2016-01-24
211,1,2003-07-27
212,1,2003-07-27
215,1,2016-01-14
217,1,2015-10-10
218,1,2003-08-26
220,1,2016-02-01
221,1,2015-09-16
222,1,2015-04-15
225,1,2015-09-25
227,1,2016-01-26
228,1,2014-04-09
229,1,2016-01-14
230,1,2016-01-31
231,1,2015-11-17
236,1,2015-12-31
237,1,2015-12-01
240,1,2016-01-18
241,1,2016-01-17
242,1,2016-01-16
245,1,2003-07-30
247,1,2015-10-16
248,1,2016-01-23
252,1,2015-10-29
253,1,2015-12-16
254,1,2013-10-06
255,1,2014-04-13
256,1,2016-02-02
260,1,2016-01-08
263,1,2014-04-09
269,1,2015-11-18
270,1,2015-12-27
273,1,2015-09-25
274,1,2015-11-16
275,1,2003-08-06
278,1,2016-02-02
281,1,2015-09-13
282,1,2014-03-10
284,1,2015-12-16
285,1,2015-12-13
286,1,2015-10-23
290,1,2016-01-31
292,1,2015-05-03
293,1,2015-07-24
294,1,2015-12-16
295,1,2003-08-08
297,1,2016-01-18
298,1,2016-02-02
299,1,2016-01-26
300,1,2015-05-27
303,1,2007-01-11
304,1,2016-01-04
305,1,2015-11-03
306,1,2015-09-07
307,1,2015-05-25
308,1,2016-02-01
311,1,2015-10-26
312,1,2016-01-29
313,1,2003-08-08
314,1,2016-01-22
315,1,2007-05-15
316,1,2015-06-18
319,1,2016-01-06
321,1,2015-07-29
327,1,2015-09-11
328,1,2015-09-21
337,1,2014-09-28
338,1,2016-01-29
339,1,2003-10-04
340,1,2015-10-29
342,1,2016-02-01
344,1,2014-06-12
347,1,2003-08-12
349,1,2003-08-12
350,1,2016-01-30
352,1,2015-08-02
354,1,2015-02-13
355,1,2015-09-27
357,1,2015-12-08
358,1,2015-09-13
362,1,2003-08-13
364,1,2015-12-02
365,1,2015-12-04
367,1,2011-02-09
369,1,2016-01-01
373,1,2007-12-28
374,1,2015-08-30
375,1,2015-11-05
376,1,2015-12-16
379,1,2007-05-30
382,1,2015-12-21
383,1,2013-05-30
384,1,2006-12-02
385,1,2016-01-22
389,1,2016-01-17
390,1,2015-05-09
391,1,2016-01-03
392,1,2015-07-22
393,1,2009-10-16
394,1,2016-01-26
399,1,2015-09-28
400,1,2015-09-18
401,1,2016-01-04
402,1,2016-01-01
404,1,2016-01-23
406,1,2007-05-04
408,1,2016-01-09
410,1,2015-12-26
412,1,2015-08-18
415,1,2016-01-22
416,1,2016-01-24
417,1,2013-06-14
418,1,2016-01-17
419,1,2004-07-18
420,1,2015-09-26
421,1,2015-11-08
422,1,2016-01-03
423,1,2016-01-06
424,1,2015-12-19
425,1,2016-01-16
426,1,2016-01-26
427,1,2016-01-02
428,1,2015-09-26
429,1,2014-10-31
430,1,2016-01-02
431,1,2015-11-12
432,1,2013-06-18
433,1,2015-11-01
434,1,2015-09-29
435,1,2014-02-27
436,1,2014-04-09
437,1,2014-07-25
438,1,2014-04-14
439,1,2005-04-21
440,1,2015-12-30
441,1,2016-01-10
442,1,2016-01-01
443,1,2016-01-10
444,1,2015-12-31
445,1,2015-08-01
446,1,2016-02-01
447,1,2016-01-07
449,1,2015-09-28
450,1,2015-11-18
451,1,2015-12-26
452,1,2015-11-04
453,1,2015-09-28
454,1,2015-08-17
455,1,2014-11-02
456,1,2015-09-22
457,1,2015-07-20
458,1,2004-08-03
460,1,2014-01-02
464,1,2015-05-21
465,1,2015-06-11
466,1,2013-11-29
467,1,2014-04-09
468,1,2013-03-28
469,1,2015-10-16
470,1,2016-02-02
471,1,2016-02-02
472,1,2015-09-22
473,1,2015-09-06
474,1,2009-06-23
475,1,2016-02-01
477,1,2016-01-06
478,1,2003-08-25
480,1,2016-01-18
482,1,2016-02-01
483,1,2015-12-16
484,1,2016-01-27
487,1,2016-01-18
488,1,2014-04-22
489,1,2015-09-24
490,1,2008-08-19
491,1,2008-08-19
492,1,2014-07-25
493,1,2008-08-19
494,1,2008-08-19
495,1,2014-12-09
496,1,2014-04-23
497,1,2015-05-12
498,1,2015-12-23
499,1,2015-03-24
500,1,2015-03-08
501,1,2014-08-08
